;Nom entreprise;dirigeant;siret;dateCreationEntreprise;chiffreAffaire;effectifEntreprise;contact
0;ELEO45;Jérôme BINAME / GILLES MARTIN;78858949700031;09/10/2012;1,05 millions euros;10 salariés;35 RUE DE LA SAUGE 45430 CHECY|02 38 81 82 02|eleo45@orange.fr
1;STE ORLEANAISE DE GENIE CLIMATIQUE;JOAO BARROS / Manuel BARROS;30480266300050;01/11/1976;5,36 millions euros;29 salariés;SOGEC 35 RUE DE LA BURELLE 45800 SAINT-JEAN-DE-BRAYE|02 38 86 46 14|sogecthermique@wanadoo.fr
2;GAZ SERVICE 45;LIONEL JARRY VALROM SARL;37853388900036;01/12/2012;1,45 millions euros;12 salariés;6 RUE JACQUES CHARLES 45380 LA CHAPELLE SAINT-MESMIN|02 38 86 18 56|gaz.serviceenr@gmail.com
3;BERNARD RIBEIRO;PAULO RIBEIRO DA MOTA;37866336300026;01/05/1990;421 401 euros;5 salariés;90 RUE DES CLOSIERS 45000 ORLEANS|02 38 62 18 47|entreprise@bernard-christian.fr
4;JOSEPH COSNARD EURL;DAVID COSNARD;42336827300029;01/07/1978;971 142 euros;7 salariés;30 ROUTE NATIONALE 45140 INGRE|02 38 43 06 55|contact@josephcosnard.com
5;SARL DUMAIS;Laurent LORET;45406561600012;25/06/2004;696 986 euros;8 salariés;LE CLAIR RUISSEAU ZONE ARTISANALE 45500 POILLY-LEZ-GIEN|02 38 67 25 52|loretlaurent@orange.fr
6;SOCIETE ASSELIN-BERTRAND;Charles BERTRAND;34162877400018;01/04/1987;613 039 euros;7 salariés;51 AVENUE DU MARECHAL LECLERC 45270 BELLEGARDE|02 38 90 10 91|asselinbertrand@outlook.fr
7;ENTREPRISE MOLLIERE CHAUFFAGE SANITAIRE;MASL;8728100200029;01/04/1972;6,81 millions euros;47 salariés;93 ROUTE DE BLOIS 45740 LAILLY-EN-VAL|02 38 44 74 45|k.urbany@molliere.fr
8;GARANKA ILE DE FRANCE SAS;Mickaël BENOIT;78510807700203;27/10/2011;336 294 euros;4 salariés;20 RUE DE LA BARAUDIERE 45700 VILLEMANDEUR|02 38 85 20 29|contact-montargis@garanka.fr
9;EIFFAGE ENERGIE SYSTEMES-CENTRE LOIRE;"Stéphane PETIT EIFFAGE ENERGIE SYSTEMES REGIONS FRANCE""";32900955900108;22/03/1984;66,34 millions euros;450 salariés;3 RUE GUSTAVE EIFFEL PARC DES CHATELLIERS BP 62849 45028 ORLEANS CEDEX 1|02 38 61 20 00|contact.orleans.energie@eiffage.com
